PLAYER_NAME,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y
Moriah Jefferson,Restricted Area,Center(C),Less Than 8 ft.,0,7,1
Arike Ogunbowale,Above the Break 3,Left Side Center(LC),24+ ft.,26,-176,204
Elizabeth Williams,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-47,9
Betnijah Laney,Restricted Area,Center(C),Less Than 8 ft.,1,-13,15
Isabelle Harrison,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,62,96
Chennedy Carter,Restricted Area,Center(C),Less Than 8 ft.,1,13,7
Shekinna Stricklen,Above the Break 3,Left Side Center(LC),24+ ft.,25,-168,196
Monique Billings,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-47,14
Allisha Gray,Above the Break 3,Right Side(R),24+ ft.,24,226,83
Monique Billings,Restricted Area,Center(C),Less Than 8 ft.,1,3,18
Tyasha Harris,Above the Break 3,Right Side Center(RC),24+ ft.,24,102,221
Arike Ogunbowale,Above the Break 3,Right Side Center(RC),24+ ft.,24,157,187
Chennedy Carter,Mid-Range,Right Side(R),8-16 ft.,10,89,50
Katie Lou Samuelson,Above the Break 3,Center(C),24+ ft.,25,0,259
Shekinna Stricklen,Above the Break 3,Left Side Center(LC),24+ ft.,26,-178,196
Tyasha Harris,Above the Break 3,Right Side Center(RC),24+ ft.,26,184,187
Blake Dietrick,Above the Break 3,Right Side Center(RC),24+ ft.,24,148,192
Tyasha Harris,Above the Break 3,Right Side Center(RC),24+ ft.,24,193,147
Allisha Gray,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,54,52
Shekinna Stricklen,Above the Break 3,Left Side Center(LC),24+ ft.,25,-224,115
Monique Billings,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,71,117
Satou Sabally,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,46,18
Betnijah Laney,Mid-Range,Left Side Center(LC),16-24 ft.,17,-63,166
